  Total time   Self time       Calls  Function
    0.323 us    0.227 us           1  __pfx_ext4_mb_pa_put_free
    0.319 us    0.242 us           1  __kmalloc_cache_noprof
    0.317 us    0.317 us           3  kfree
    0.301 us    0.206 us           1  ext4_dio_alignment
    0.293 us    0.214 us           1  ext4_mb_initialize_context
    0.292 us    0.170 us           1  raw_spin_rq_lock_nested
    0.290 us    0.197 us           1  generic_write_checks
    0.282 us    0.282 us           1  __blk_rq_map_sg
    0.277 us    0.196 us           1  __pfx_ext4_meta_trans_blocks
    0.274 us    0.203 us           1  update_irq_load_avg
    0.272 us    0.272 us           2  ext4_mb_good_group
    0.267 us    0.267 us           3  add_transaction_credits
    0.267 us    0.175 us           1  from_kuid
    0.260 us    0.260 us           3  map_id_up
    0.257 us    0.166 us           1  from_kprojid
    0.255 us    0.255 us           1  mempool_kmalloc
    0.254 us    0.254 us           3  __wake_up_common
    0.251 us    0.172 us           1  __pte_offset_map
    0.248 us    0.248 us           3  up_write
    0.224 us    0.224 us           3  arch_scale_cpu_capacity
    0.223 us    0.146 us           1  from_kgid
    0.213 us    0.213 us           1  __pfx_nvme_setup_discard
    0.207 us    0.207 us           1  perf_ctx_disable
    0.188 us    0.188 us           1  wake_up_var
    0.186 us    0.186 us           1  inode_add_bytes
    0.180 us    0.180 us           2  detach_if_pending
    0.176 us    0.176 us           1  enqueue_timer
    0.164 us    0.164 us           2  _raw_write_lock
    0.163 us    0.163 us           2  up_read
    0.155 us    0.155 us           1  perf_ctx_unlock
    0.153 us    0.153 us           2  _raw_write_unlock
    0.149 us    0.149 us           1  __rq_qos_issue
    0.149 us    0.149 us           1  xattr_resolve_name
    0.145 us    0.145 us           1  blkcg_set_ioprio
    0.125 us    0.125 us           1  perf_ctx_enable
    0.125 us    0.125 us           1  rcu_note_context_switch
    0.106 us    0.106 us           1  __pfx_ext4_update_super
    0.098 us    0.098 us           1  calc_wheel_index
    0.098 us    0.098 us           1  perf_ctx_sched_task_cb
    0.097 us    0.097 us           1  invalidate_inode_pages2_range
    0.096 us    0.096 us           1  ktime_get
    0.093 us    0.093 us           1  generic_write_check_limits
    0.091 us    0.091 us           1  filemap_check_errors
    0.090 us    0.090 us           1  __pfx_ext4_mb_unload_buddy
    0.089 us    0.089 us           1  __msecs_to_jiffies
    0.089 us    0.089 us           1  __pfx_ext4_iomap_end
    0.087 us    0.087 us           1  psi_flags_change
    0.086 us    0.086 us           1  blk_cgroup_bio_start
    0.085 us    0.085 us           1  ext4_enable_quotas
    0.085 us    0.085 us           1  kiocb_invalidate_post_direct_write
    0.084 us    0.084 us           1  pick_task_fair
    0.083 us    0.083 us           1  _raw_spin_trylock
    0.081 us    0.081 us           1  __brelse
    0.080 us    0.080 us           1  <ffffffffc0b26b34>
    0.080 us    0.080 us           1  fscrypt_set_bio_crypt_ctx
    0.080 us    0.080 us           1  setattr_should_drop_suidgid
    0.079 us    0.079 us           1  blk_start_plug
    0.079 us    0.079 us           1  fscrypt_limit_io_blocks
    0.079 us    0.079 us           1  iomap_dio_zero
    0.078 us    0.078 us           1  blk_add_timer
    0.078 us    0.078 us           1  bpf_lsm_inode_need_killpriv
    0.078 us    0.078 us           1  pick_task_idle
    0.077 us    0.077 us           1  is_bad_inode
    0.077 us    0.077 us           1  kthread_blkcg
    0.076 us    0.076 us           1  __pfx___track_dentry_update
    0.076 us    0.076 us           1  hrtick_update
    0.076 us    0.076 us           1  ktime_get_coarse_real_ts64
    0.076 us    0.076 us           1  timestamp_truncate
